-12.45226,-10.426631,26.354536
-7.6145053,-10.806261,27.507114
-7.5731912,-10.718249,27.544889
-6.1847777,-10.093635,26.462383
-8.4022446,-9.4360466,25.959799
-10.052085,-8.6079903,23.949171
-8.4272509,-8.5616589,24.402601
-6.5487676,-9.1539259,26.760008
-1.193558,-8.5756607,26.265648
-9.9336271,-7.8385077,24.409874
-7.213685,-8.1127491,25.850071
-12.879768,-8.2857189,27.456181
-8.786026,-7.5302176,25.273178
-6.4311538,-7.7483706,26.658876
-0.59841919,-8.1949129,28.752033
10.718916,-7.0201335,25.505346
7.7410302,-6.6967111,27.267153
12.622244,-6.5276213,27.729588
-12.652371,-6.380743,27.421621
